No.,Player,Pos,Ht,Wt,Birth Date,,Exp,College,Player-additional
35,Don Ford,SF,6-9,215,December 31 1952,us,4,New Mexico UC Santa Barbara,forddo01
31,Spencer Haywood,PF,6-8,225,April 22 1949,us,10,Trinidad State Junior College Detroit Mercy,haywosp01
14,Brad Holland,SG,6-3,180,December 6 1956,us,R,UCLA,hollabr01
32,Magic Johnson,SG,6-9,215,August 14 1959,us,R,Michigan State,johnsma02
54,Mark Landsberger,C,6-8,215,May 21 1955,us,2,Minnesota Arizona State,landsma01
15,Butch Lee,PG,6-0,185,December 5 1956,pr,1,Marquette,leebu01
25,Ollie Mack,SG,6-3,185,June 6 1957,us,R,East Carolina University,mackol01
10,Norm Nixon,PG,6-2,170,October 11 1955,us,2,Duquesne,nixonno01
52,Jamaal Wilkes,SF,6-6,190,May 2 1953,us,5,UCLA,wilkeja01
21,Dennis Awtrey,C,6-10,235,February 22 1948,us,8,Santa Clara,awtrede01
32,Fred Brown,PG,6-3,182,August 7 1948,us,7,Iowa,brownfr01
22,Lars Hansen,C,6-10,225,September 14 1954,dk,R,Washington,hansela01
10,Joe Hassett,SG,6-5,180,September 11 1955,us,1,Providence,hassejo01
24,Dennis Johnson,SG,6-4,185,September 18 1954,us,2,Pepperdine,johnsde01
27,John Johnson,SF,6-7,200,October 18 1947,us,8,Iowa,johnsjo01
23,Tom LaGarde,C,6-10,220,February 10 1955,us,1,UNC,lagarto01
22,Jackie Robinson,SF,6-6,210,May 20 1955,us,R,UNLV,robinja01
8,Lonnie Shelton,PF,6-8,240,October 19 1955,us,2,Oregon State,sheltlo01
43,Jack Sikma,C,6-11,230,November 14 1955,us,1,Illinois Wesleyan University,sikmaja01
35,Paul Silas,PF,6-7,220,July 12 1943,us,14,Creighton,silaspa01
11,Dick Snyder,SG,6-5,207,February 1 1944,us,12,Davidson,snydedi01
42,Wally Walker,SF,6-7,190,July 18 1954,us,2,Virginia,walkewa01
1,Gus Williams,PG,6-2,175,October 10 1953,us,3,USC,willigu01
42,Greg Ballard,SF,6-7,215,January 29 1955,us,R,Oregon,ballagr01
45,Phil Chenier,SG,6-3,180,October 30 1950,us,6,California,cheniph01
10,Bob Dandridge,SF,6-6,195,November 15 1947,us,8,Norfolk State,dandrbo01
35,Kevin Grevey,SF,6-5,210,May 12 1953,us,2,Kentucky,greveke01
11,Elvin Hayes,PF,6-9,235,November 17 1945,us,9,Houston,hayesel01
14,Tom Henderson,PG,6-3,190,January 26 1952,us,3,Hawaii,hendeto01
15,Charles Johnson,SG,6-0,170,March 31 1949,us,5,California,johnsch01
25,Mitch Kupchak,PF,6-9,230,May 24 1954,us,1,UNC,kupchmi01
44,Joe Pace,C,6-10,220,December 18 1953,us,1,Coppin State University,pacejo01
41,Wes Unseld,C,6-7,245,March 14 1946,us,9,Louisville,unselwe01
20,Phil Walker,SG,6-3,180,March 20 1956,us,R,Millersville,walkeph01
32,Larry Wright,PG,6-1,160,November 23 1954,us,1,Grambling State University,wrighla01
10,Corky Calhoun,SF,6-7,210,November 1 1950,us,4,Penn,calhoco01
16,Johnny Davis,SG,6-2,170,October 21 1955,us,R,Dayton,davisjo01
3,Herm Gilliam,SG,6-3,190,May 5 1946,us,7,Purdue,gillihe01
30,Bob Gross,SF,6-6,200,August 3 1953,us,1,Seattle University Cal State Long Beach,grossbo01
14,Lionel Hollins,PG,6-3,185,October 19 1953,us,1,Arizona State,hollili01
34,Robin Jones,C,6-9,225,February 2 1954,us,R,Saint Louis,jonesro01
20,Maurice Lucas,PF,6-9,215,February 18 1952,us,2,Marquette,lucasma01
22,Clyde Mayes,PF,6-8,225,March 17 1953,us,1,Furman University,mayescl01
36,Lloyd Neal,PF,6-7,225,December 10 1950,us,4,Tennessee State,nealll01
15,Larry Steele,SG,6-5,180,May 5 1949,us,5,Kentucky,steella01
13,Dave Twardzik,PG,6-1,175,September 20 1950,us,4,Old Dominion,twardda01
42,Wally Walker,SF,6-7,190,July 18 1954,us,R,Virginia,walkewa01
32,Bill Walton,C,6-11,210,November 5 1952,us,2,UCLA,waltobi01
42,Jerome Anderson,SG,6-5,195,October 9 1953,us,R,West Virginia,anderje01
34,Jim Ard,C,6-8,215,September 19 1948,us,5,Cincinnati,ardji01
31,Tom Boswell,PF,6-9,220,October 2 1953,us,R,South Carolina State South Carolina,bosweto01
18,Dave Cowens,C,6-9,230,October 25 1948,us,5,Florida State,cowenda01
17,John Havlicek,SF,6-5,203,April 8 1940,us,13,Ohio State,havlijo01
33,Steve Kuberski,C,6-8,215,November 6 1947,us,6,Bradley,kuberst01
30,Glenn McDonald,SF,6-6,190,March 18 1952,us,1,Cal State Long Beach,mcdongl01
19,Don Nelson,SF,6-6,210,May 15 1940,us,13,Iowa,nelsodo01
11,Charlie Scott,SG,6-5,175,December 15 1948,us,5,UNC,scottch01
32,Ed Searcy,SF,6-6,210,April 17 1952,us,R,St. John's,searced01
35,Paul Silas,PF,6-7,220,July 12 1943,us,11,Creighton,silaspa01
27,Kevin Stacom,SG,6-3,185,September 4 1951,us,1,Holy Cross Providence,stacoke01
10,Jo Jo White,PG,6-3,190,November 16 1946,us,6,Kansas,whitejo01
24,Rick Barry,SF,6-7,205,March 28 1944,us,8,Miami (FL),barryri01
21,Butch Beard,PG,6-3,185,May 4 1947,us,4,Louisville,beardbu01
22,Steve Bracey,SG,6-1,175,August 1 1950,us,2,Tulsa,bracest01
32,Bill Bridges,PF,6-6,228,April 4 1939,us,12,Kansas,bridgbi01
40,Derrek Dickey,PF,6-7,218,March 20 1951,us,1,Cincinnati,dickede01
15,Charles Dudley,PG,6-2,180,March 5 1950,us,1,Washington,dudlech01
10,Charles Johnson,SG,6-0,170,March 31 1949,us,2,California,johnsch01
52,George Johnson,C,6-11,205,December 18 1948,us,2,Dillard University,johnsge02
34,Frank Kendrick,SF,6-6,198,September 11 1950,us,R,Purdue,kendrfr01
23,Jeff Mullins,SG,6-4,190,March 18 1942,us,10,Duke,mullije01
44,Clifford Ray,C,6-9,230,January 21 1949,us,3,Oklahoma,raycl01
20,Phil Smith,SG,6-4,185,April 22 1952,us,R,San Francisco,smithph01
41,Jamaal Wilkes,SF,6-6,190,May 2 1953,us,R,UCLA,wilkeja01
12,Don Chaney,SG,6-5,210,March 22 1946,us,5,Houston,chanedo01
18,Dave Cowens,C,6-9,230,October 25 1948,us,3,Florida State,cowenda01
32,Steve Downing,C,6-8,225,September 9 1950,us,R,Indiana,downist01
29,Hank Finkel,C,7-0,240,April 20 1942,us,7,Dayton,finkeha01
20,Phil Hankinson,SF,6-8,195,July 26 1951,us,R,Penn,hankiph01
17,John Havlicek,SF,6-5,203,April 8 1940,us,11,Ohio State,havlijo01
11,Steve Kuberski,PF,6-8,215,November 6 1947,us,4,Bradley,kuberst01
19,Don Nelson,SF,6-6,210,May 15 1940,us,11,Iowa,nelsodo01
35,Paul Silas,PF,6-7,220,July 12 1943,us,9,Creighton,silaspa01
44,Paul Westphal,SG,6-4,195,November 30 1950,us,1,USC,westppa01
10,Jo Jo White,PG,6-3,190,November 16 1946,us,4,Kansas,whitejo01
7,Art Williams,PG,6-1,180,September 29 1939,us,6,Cal Poly Pomona,williar01
12,Dick Barnett,SG,6-4,190,October 2 1936,us,12,Tennessee State,barnedi01
17,Henry Bibby,PG,6-1,185,November 24 1949,us,R,UCLA,bibbyhe01
24,Bill Bradley,SF,6-5,205,July 28 1943,us,5,Princeton,bradlbi01
22,Dave DeBusschere,PF,6-6,220,October 16 1940,us,10,Detroit Mercy,debusda01
10,Walt Frazier,PG,6-4,200,March 29 1945,us,5,Southern Illinois,fraziwa01
40,John Gianelli,C,6-10,220,June 10 1950,us,R,University of the Pacific,gianejo01
18,Phil Jackson,PF,6-8,220,September 17 1945,us,4,University of North Dakota,jacksph01
32,Jerry Lucas,PF,6-8,230,March 30 1940,us,9,Ohio State,lucasje01
7,Dean Meminger,SG,6-0,175,May 13 1948,us,1,Marquette,meminde01
15 21,Earl Monroe,SG,6-3,185,November 21 1944,us,5,Winston-Salem State,monroea01
23,Luther Rackley,C,6-10,220,June 11 1946,us,3,Xavier,rackllu01
19,Willis Reed,C,6-10,235,June 25 1942,us,8,Grambling State University,reedwi01
6,Tom Riker,C,6-10,225,February 28 1950,us,R,South Carolina,rikerto01
43,Harthorne Wingo,PF,6-6,210,September 9 1947,us,R,Friendship Junior College,wingoha01
22,Elgin Baylor,SF,6-5,225,September 16 1934,us,13,College of Idaho Seattle University,bayloel01
13,Wilt Chamberlain,C,7-1,275,August 21 1936,us,12,Kansas,chambwi01
11,Jim Cleamons,PG,6-3,185,September 13 1949,us,R,Ohio State,cleamji01
14,Leroy Ellis,C,6-10,210,March 10 1940,us,9,St. John's,ellisle01
24,Keith Erickson,SF,6-5,195,April 19 1944,us,6,UCLA,erickke01
25,Gail Goodrich,SG,6-1,170,April 23 1943,us,6,UCLA,goodrga01
52,Happy Hairston,PF,6-7,225,May 31 1942,us,7,NYU,hairsha01
5,Jim McMillian,SF,6-5,215,March 11 1948,us,1,Columbia University,mcmilji01
12,Pat Riley,SG,6-4,205,March 20 1945,us,4,Kentucky,rileypa01
21,Flynn Robinson,SG,6-1,185,April 28 1941,us,5,Southern Illinois  Wyoming,robinfl01
31,John Trapp,SF,6-7,210,October 2 1945,us,3,Voorhees College Pasadena City College UNLV,trappjo01
44,Jerry West,PG,6-3,175,May 28 1938,us,11,West Virginia,westje01
33,Kareem Abdul-Jabbar,C,7-2,225,April 16 1947,us,1,UCLA,abdulka01
7,Lucius Allen,PG,6-2,175,September 26 1947,us,1,UCLA,allenlu01
20 35,Bob Boozer,PF,6-8,215,April 26 1937,us,10,Kansas State,boozebo01
19,Dick Cunningham,C,6-10,245,July 11 1946,us,2,Murray State,cunnidi01
10,Bob Dandridge,SF,6-6,195,November 15 1947,us,1,Norfolk State,dandrbo01
17 27,Gary Freeman,SF,6-9,210,July 25 1948,,R,Oregon State,freemga01
18,Bob Greacen,SF,6-7,206,September 15 1947,us,1,Rutgers University,greacbo01
14,Jon McGlocklin,SG,6-5,205,June 10 1943,us,5,Indiana,mcglojo01
35,McCoy McLemore,SF,6-7,230,April 3 1942,us,6,Drake University,mclemmc01
1,Oscar Robertson,PG,6-5,205,November 24 1938,us,10,Cincinnati,roberos01
4,Greg Smith,PF,6-5,195,January 28 1947,us,2,Western Kentucky,smithgr01
8,Jeff Webb,SG,6-4,170,July 6 1948,,R,Kansas State,webbje01
5,Marv Winkler,G,6-1,164,February 18 1948,,R,Louisiana,winklma01
6,Bill Zopf,PG,6-1,170,June 7 1948,,R,Duquesne,zopfbi01
12,Dick Barnett,SG,6-4,190,October 2 1936,us,9,Tennessee State,barnedi01
17,Nate Bowman,C,6-10,230,March 19 1943,us,3,Wichita State,bowmana01
24,Bill Bradley,SF,6-5,205,July 28 1943,us,2,Princeton,bradlbi01
22,Dave DeBusschere,PF,6-6,220,October 16 1940,us,7,Detroit Mercy,debusda01
10,Walt Frazier,PG,6-4,200,March 29 1945,us,2,Southern Illinois,fraziwa01
20,Bill Hosket,PF,6-8,225,December 20 1946,us,1,Ohio State,hoskebi01
5,Don May,SF,6-4,200,January 3 1946,us,1,Dayton,maydo01
19,Willis Reed,C,6-10,235,June 25 1942,us,5,Grambling State University,reedwi01
6,Mike Riordan,SG,6-4,200,July 9 1945,us,1,Providence,riordmi01
33,Cazzie Russell,SF,6-5,218,June 7 1944,us,3,Michigan,russeca01
9,Dave Stallworth,SF,6-7,200,December 20 1941,us,2,Wichita State,stallda01
16,John Warren,SG,6-3,180,July 7 1947,us,R,St. John's,warrejo01
28,Jim Barnes,C,6-8,210,April 13 1941,us,4,Texas-El Paso,barneji01
7,Em Bryant,PG,6-1,175,November 4 1938,us,4,DePaul,bryanem01
12,Don Chaney,SG,6-5,210,March 22 1946,us,R,Houston,chanedo01
11,Mal Graham,PG,6-1,185,February 23 1945,,1,NYU,grahama01
17,John Havlicek,SG,6-5,203,April 8 1940,us,6,Ohio State,havlijo01
18,Bailey Howell,PF,6-7,210,January 20 1937,us,9,Mississippi State,howelba01
26,Rich Johnson,C,6-7,210,December 18 1946,,R,Grambling State University,johnsri01
24,Sam Jones,SG,6-4,198,June 24 1933,us,11,NC Central,jonessa01
19,Don Nelson,SF,6-6,210,May 15 1940,us,6,Iowa,nelsodo01
29,Bud Olsen,PF,6-8,220,July 25 1940,us,6,Louisville,olsenbu01
6,Bill Russell,C,6-10,215,February 12 1934,us,12,San Francisco,russebi01
16,Tom Sanders,SF,6-6,210,November 8 1938,us,8,NYU,sandeto01
20,Larry Siegfried,PG,6-3,190,May 22 1939,us,5,Ohio State,siegfla01
28,Wayne Embry,C,6-8,240,March 26 1937,us,9,Miami University,embrywa01
11,Mal Graham,PG,6-1,185,February 23 1945,,R,NYU,grahama01
17,John Havlicek,SG,6-5,203,April 8 1940,us,5,Ohio State,havlijo01
18,Bailey Howell,PF,6-7,210,January 20 1937,us,8,Mississippi State,howelba01
27,Johnny Jones,SF,6-7,205,March 12 1943,us,R,California State University Los Angeles,jonesjo01
24,Sam Jones,PG,6-4,198,June 24 1933,us,10,NC Central,jonessa01
19,Don Nelson,SF,6-6,210,May 15 1940,us,5,Iowa,nelsodo01
6,Bill Russell,C,6-10,215,February 12 1934,us,11,San Francisco,russebi01
16,Tom Sanders,SF,6-6,210,November 8 1938,us,7,NYU,sandeto01
20,Larry Siegfried,PG,6-3,190,May 22 1939,us,4,Ohio State,siegfla01
12,Tom Thacker,SG,6-2,170,November 2 1939,us,3,Cincinnati,thackto01
26,Rick Weitzman,SG,6-2,175,April 30 1946,,R,Northeastern University,weitzri01
13,Wilt Chamberlain,C,7-1,275,August 21 1936,us,7,Kansas,chambwi01
21,Larry Costello,PG,6-1,186,July 2 1931,us,10,Niagara University,costela01
32,Billy Cunningham,SF,6-6,210,June 3 1943,us,1,UNC,cunnibi01
20,Dave Gambee,SF,6-6,215,April 16 1937,us,8,Oregon State,gambeda01
15,Hal Greer,SG,6-2,175,June 26 1936,us,8,Marshall,greerha01
14,Matt Guokas,SG,6-5,175,February 25 1944,us,R,Saint Joseph's,guokama02
54,Luke Jackson,PF,6-9,240,October 31 1941,us,2,University of Texas Rio Grande Valley,jackslu01
24,Wali Jones,PG,6-2,180,February 14 1942,us,2,Villanova,joneswa02
28,Bill Melchionni,PG,6-1,165,October 19 1944,us,R,Villanova,melchbi01
25,Chet Walker,SF,6-6,212,February 22 1940,us,4,Bradley,walkech01
12,Bob Weiss,PG,6-2,180,May 7 1942,us,1,Penn State,weissbo01
21,Ron Bonham,SG,6-5,192,May 31 1942,us,1,Cincinnati,bonharo01
11,Mel Counts,C,7-0,230,October 16 1941,us,1,Oregon State,countme01
28,Si Green,G-F,6-2,185,August 20 1933,us,8,Duquesne,greensi01
17,John Havlicek,SF,6-5,203,April 8 1940,us,3,Ohio State,havlijo01
25,K.C. Jones,PG,6-1,200,May 25 1932,us,7,San Francisco,joneskc01
24,Sam Jones,SG,6-4,198,June 24 1933,us,8,NC Central,jonessa01
12,Willie Naulls,SF,6-6,225,October 7 1934,us,9,UCLA,naullwi01
19,Don Nelson,SF,6-6,210,May 15 1940,us,3,Iowa,nelsodo01
6,Bill Russell,C,6-10,215,February 12 1934,us,9,San Francisco,russebi01
16,Tom Sanders,PF,6-6,210,November 8 1938,us,5,NYU,sandeto01
18,Woody Sauldsberry,PF,6-7,220,July 11 1934,us,6,Texas Southern,sauldwo01
20,Larry Siegfried,PG,6-3,190,May 22 1939,us,2,Ohio State,siegfla01
5,John Thompson,C,6-10,225,September 2 1941,us,1,Providence,thompjo01
12,Ron Watts,F,6-6,210,May 21 1943,,R,Wake Forest,wattsro01
21,Ron Bonham,SF,6-5,192,May 31 1942,us,R,Cincinnati,bonharo01
11,Mel Counts,C,7-0,230,October 16 1941,us,R,Oregon State,countme01
17,John Havlicek,SG,6-5,203,April 8 1940,us,2,Ohio State,havlijo01
15,Tom Heinsohn,SF,6-7,218,August 26 1934,us,8,Holy Cross,heinsto01
25,K.C. Jones,PG,6-1,200,May 25 1932,us,6,San Francisco,joneskc01
24,Sam Jones,SG,6-4,198,June 24 1933,us,7,NC Central,jonessa01
12,Willie Naulls,SF,6-6,225,October 7 1934,us,8,UCLA,naullwi01
34,Bevo Nordmann,C,6-10,225,December 11 1939,us,3,Saint Louis,nordmbe01
6,Bill Russell,C,6-10,215,February 12 1934,us,8,San Francisco,russebi01
16,Tom Sanders,PF,6-6,210,November 8 1938,us,4,NYU,sandeto01
20,Larry Siegfried,SG,6-3,190,May 22 1939,us,1,Ohio State,siegfla01
18,John Thompson,PF,6-10,225,September 2 1941,us,R,Providence,thompjo01
4,Gerry Ward,SG,6-4,195,September 6 1941,,1,Boston College,wardge01
17,John Havlicek,SF,6-5,203,April 8 1940,us,1,Ohio State,havlijo01
15,Tom Heinsohn,PF,6-7,218,August 26 1934,us,7,Holy Cross,heinsto01
25,K.C. Jones,PG,6-1,200,May 25 1932,us,5,San Francisco,joneskc01
24,Sam Jones,SG,6-4,198,June 24 1933,us,6,NC Central,jonessa01
18,Jim Loscutoff,SF,6-5,220,February 4 1930,us,8,Oregon,loscuji01
34,Clyde Lovellette,C,6-9,234,September 7 1929,us,10,Kansas,lovelcl01
21,Johnny McCarthy,PG,6-1,185,April 25 1934,us,5,Canisius,mccarjo01
12,Willie Naulls,SF,6-6,225,October 7 1934,us,7,UCLA,naullwi01
23,Frank Ramsey,SG,6-3,190,July 13 1931,us,8,Kentucky,ramsefr01
6,Bill Russell,C,6-10,215,February 12 1934,us,7,San Francisco,russebi01
16,Tom Sanders,PF,6-6,210,November 8 1938,us,3,NYU,sandeto01
20,Larry Siegfried,SG,6-3,190,May 22 1939,us,R,Ohio State,siegfla01
14,Bob Cousy,PG,6-1,175,August 9 1928,us,12,Holy Cross,cousybo01
21,Jack Foley,F,6-3,170,April 19 1939,us,R,Holy Cross,foleyja01
20,Gene Guarilia,SF,6-5,220,September 13 1937,us,3,George Washington,guarige01
17,John Havlicek,SF,6-5,203,April 8 1940,us,R,Ohio State,havlijo01
15,Tom Heinsohn,PF,6-7,218,August 26 1934,us,6,Holy Cross,heinsto01
25,K.C. Jones,PG,6-1,200,May 25 1932,us,4,San Francisco,joneskc01
24,Sam Jones,SG,6-4,198,June 24 1933,us,5,NC Central,jonessa01
18,Jim Loscutoff,SF,6-5,220,February 4 1930,us,7,Oregon,loscuji01
4,Clyde Lovellette,C,6-9,234,September 7 1929,us,9,Kansas,lovelcl01
23,Frank Ramsey,SG,6-3,190,July 13 1931,us,7,Kentucky,ramsefr01
6,Bill Russell,C,6-10,215,February 12 1934,us,6,San Francisco,russebi01
16,Tom Sanders,SF,6-6,210,November 8 1938,us,2,NYU,sandeto01
12,Dan Swartz,SF,6-4,215,December 23 1934,us,R,Morehead State University,swartda01
4,Carl Braun,PG,6-5,180,September 25 1927,us,12,Colgate,braunca01
22,Al Butler,PG,6-2,175,July 9 1938,us,R,Niagara University,butleal01
14,Bob Cousy,PG,6-1,175,August 9 1928,us,11,Holy Cross,cousybo01
20,Gene Guarilia,SF,6-5,220,September 13 1937,us,2,George Washington,guarige01
15,Tom Heinsohn,PF,6-7,218,August 26 1934,us,5,Holy Cross,heinsto01
25,K.C. Jones,PG,6-1,200,May 25 1932,us,3,San Francisco,joneskc01
24,Sam Jones,SG,6-4,198,June 24 1933,us,4,NC Central,jonessa01
18,Jim Loscutoff,SF,6-5,220,February 4 1930,us,6,Oregon,loscuji01
21,Gary Phillips,PG,6-3,189,December 7 1939,us,R,Houston,phillga01
23,Frank Ramsey,SG,6-3,190,July 13 1931,us,6,Kentucky,ramsefr01
6,Bill Russell,C,6-10,215,February 12 1934,us,5,San Francisco,russebi01
16,Tom Sanders,SF,6-6,210,November 8 1938,us,1,NYU,sandeto01
17,Gene Conley,PF,6-8,225,November 10 1930,us,3,Washington State,conlege01
14,Bob Cousy,PG,6-1,175,August 9 1928,us,10,Holy Cross,cousybo01
20,Gene Guarilia,SF,6-5,220,September 13 1937,us,1,George Washington,guarige01
15,Tom Heinsohn,PF,6-7,218,August 26 1934,us,4,Holy Cross,heinsto01
25,K.C. Jones,PG,6-1,200,May 25 1932,us,2,San Francisco,joneskc01
24,Sam Jones,SG,6-4,198,June 24 1933,us,3,NC Central,jonessa01
18,Jim Loscutoff,SF,6-5,220,February 4 1930,us,5,Oregon,loscuji01
23,Frank Ramsey,SG,6-3,190,July 13 1931,us,5,Kentucky,ramsefr01
6,Bill Russell,C,6-10,215,February 12 1934,us,4,San Francisco,russebi01
16,Tom Sanders,SF,6-6,210,November 8 1938,us,R,NYU,sandeto01
21,Bill Sharman,SG,6-1,175,May 25 1926,us,10,USC,sharmbi01
17,Gene Conley,PF,6-8,225,November 10 1930,us,2,Washington State,conlege01
14,Bob Cousy,PG,6-1,175,August 9 1928,us,9,Holy Cross,cousybo01
20,Gene Guarilia,SF,6-5,220,September 13 1937,us,R,George Washington,guarige01
15 20,Tom Heinsohn,PF,6-7,218,August 26 1934,us,3,Holy Cross,heinsto01
25,K.C. Jones,PG,6-1,200,May 25 1932,us,1,San Francisco,joneskc01
24,Sam Jones,SF,6-4,198,June 24 1933,us,2,NC Central,jonessa01
19,Maurice King,PG,6-2,195,March 12 1935,us,R,Kansas,kingma01
18,Jim Loscutoff,SF,6-5,220,February 4 1930,us,4,Oregon,loscuji01
23,Frank Ramsey,SG,6-3,190,July 13 1931,us,4,Kentucky,ramsefr01
16,John Richter,C,6-9,225,March 12 1937,us,R,NC State,richtjo01
6,Bill Russell,C,6-10,215,February 12 1934,us,3,San Francisco,russebi01
21,Bill Sharman,SG,6-1,175,May 25 1926,us,9,USC,sharmbi01
17,Gene Conley,PF,6-8,225,November 10 1930,us,1,Washington State,conlege01
14,Bob Cousy,PG,6-1,175,August 9 1928,us,8,Holy Cross,cousybo01
15,Tom Heinsohn,PF,6-7,218,August 26 1934,us,2,Holy Cross,heinsto01
25 27,K.C. Jones,PG,6-1,200,May 25 1932,us,R,San Francisco,joneskc01
24,Sam Jones,SF,6-4,198,June 24 1933,us,1,NC Central,jonessa01
18,Jim Loscutoff,SF,6-5,220,February 4 1930,us,3,Oregon,loscuji01
23,Frank Ramsey,SG,6-3,190,July 13 1931,us,3,Kentucky,ramsefr01
6,Bill Russell,C,6-10,215,February 12 1934,us,2,San Francisco,russebi01
21,Bill Sharman,SG,6-1,175,May 25 1926,us,8,USC,sharmbi01
16,Bennie Swain,PF,6-8,220,December 16 1933,,R,Texas Southern,swainbe01
20,Lou Tsioropoulos,SF,6-5,190,August 31 1930,us,2,Kentucky,tsiorlo01
11,Jack Coleman,PF,6-7,195,May 23 1924,us,8,Louisville,colemja01
12,Walt Davis,PF,6-8,205,January 5 1931,us,4,Texas A&M,daviswa01
16,Cliff Hagan,SF,6-4,210,December 9 1931,us,1,Kentucky,hagancl01
20,Ed Macauley,C,6-8,185,March 22 1928,us,8,Saint Louis,macaued01
22,Slater Martin,PG,5-10,170,October 22 1925,us,8,Texas,martisl01
21,Jack McMahon,SG,6-1,185,December 3 1928,us,5,St. John's,mcmahja01
12,Red Morrison,C,6-8,220,April 26 1932,us,2,Idaho,morrire01
17,Med Park,SG,6-2,205,April 11 1933,us,2,Missouri,parkme01
17,Worthy Patterson,G,6-2,175,June 17 1931,us,R,UConn,pattewo01
9,Bob Pettit,PF,6-9,205,December 12 1932,us,3,LSU,pettibo01
19,Frank Selvy,G-F,6-3,180,November 9 1932,us,2,Furman University,selvyfr01
13,Chuck Share,C,6-11,235,March 14 1927,us,6,Bowling Green,sharech01
15,Win Wilfong,PG,6-2,185,March 18 1933,us,R,Memphis,wilfowi01
14,Bob Cousy,PG,6-1,175,August 9 1928,us,6,Holy Cross,cousybo01
15,Tom Heinsohn,PF,6-7,218,August 26 1934,us,R,Holy Cross,heinsto01
20,Dick Hemric,PF,6-6,220,August 29 1933,us,1,Wake Forest,hemridi01
18,Jim Loscutoff,SF,6-5,220,February 4 1930,us,1,Oregon,loscuji01
16,Jack Nichols,PF,6-7,222,April 9 1926,,7,Washington,nichoja01
12,Togo Palazzi,SF,6-4,205,August 8 1932,us,2,Holy Cross,palazto01
17,Andy Phillip,PG,6-2,195,March 7 1922,us,9,Illinois,phillan01
23,Frank Ramsey,SG,6-3,190,July 13 1931,us,1,Kentucky,ramsefr01
19,Arnie Risen,C,6-9,200,October 9 1924,us,8,Ohio State,risenar01
6,Bill Russell,C,6-10,215,February 12 1934,us,R,San Francisco,russebi01
21,Bill Sharman,SG,6-1,175,May 25 1926,us,6,USC,sharmbi01
29,Lou Tsioropoulos,SF,6-5,190,August 31 1930,us,R,Kentucky,tsiorlo01
11,Paul Arizin,SF,6-4,190,April 9 1928,us,3,Villanova,arizipa01
7,Ernie Beck,SG,6-4,190,December 11 1931,us,1,Penn,becker01
12,Walt Davis,PF,6-8,205,January 5 1931,us,2,Texas A&M,daviswa01
5,George Dempsey,PG,6-2,190,July 19 1929,us,1,King's College,dempsge01
17,Jack George,PG,6-2,190,November 13 1928,us,2,La Salle,georgja01
15,Tom Gola,SG,6-6,205,January 13 1933,us,R,La Salle,golato01
9,Joe Graboski,PF,6-7,195,January 15 1930,,6,,grabojo01
4,Larry Hennessy,SG,6-3,185,May 20 1929,us,R,Villanova,hennela01
6,Neil Johnston,C,6-8,210,February 4 1929,us,4,Ohio State,johnsne01
14,Jackie Moore,SF,6-5,180,September 24 1932,us,1,La Salle,mooreja01
7 25,Bob Schafer,SG,6-3,195,March 29 1933,us,R,Villanova,schafbo01
12 14,Dick Farley,SG,6-4,190,April 13 1932,,R,Indiana,farledi01
7,Bill Gabor,SG,5-11,170,May 13 1922,us,5,Syracuse,gaborbi01
15,Billy Kenville,SG,6-2,187,December 1 1930,us,1,St. Bonaventure,kenvibi01
10,Red Kerr,C,6-9,230,July 17 1932,us,R,Illinois,kerrre01
3,George King,PG,6-0,175,August 16 1928,us,3,University of Charleston,kingge01
11,Earl Lloyd,SF,6-5,200,April 3 1928,us,3,West Virginia State University,lloydea01
,Jackie Moore,SF,6-5,180,September 24 1932,us,R,La Salle,mooreja01
8,Wally Osterkorn,SF,6-5,215,July 6 1928,us,3,Illinois,osterwa01
16,Red Rocha,C,6-9,185,September 18 1923,us,6,Oregon State,rochare01
4,Dolph Schayes,PF,6-8,220,May 19 1928,us,5,NYU,schaydo01
5,Paul Seymour,SG,6-1,180,January 30 1928,us,6,Toledo,seymopa01
6,Connie Simmons,C,6-8,222,March 15 1925,us,8,,simmoco01
14,Jim Tucker,PF,6-7,185,December 11 1932,us,R,Duquesne,tuckeji01
,Jim Fritsche,PF,6-8,210,December 10 1931,us,R,Hamline University,fritsji01
16,Bob Harrison,G,6-1,190,August 12 1927,us,4,Michigan,harribo02
12,Jim Holstein,SF,6-3,180,September 24 1930,us,1,Cincinnati,holstji01
34 89,Clyde Lovellette,C,6-9,234,September 7 1929,us,R,Kansas,lovelcl01
22,Slater Martin,PG,5-10,170,October 22 1925,us,4,Texas,martisl01
99,George Mikan,C,6-10,245,June 18 1924,us,5,DePaul,mikange01
19,Vern Mikkelsen,PF,6-7,230,October 21 1928,us,4,Hamline University,mikkeve01
17,Jim Pollard,SF,6-4,185,July 9 1922,us,5,Stanford,pollaji01
18,Pep Saul,SG,6-2,185,February 16 1924,us,4,Seton Hall,saulpe01
15 24,Dick Schnittker,SF,6-5,200,May 27 1928,us,2,Ohio State,schnidi01
20,Whitey Skoog,SG,5-11,180,November 2 1926,us,2,Minnesota,skoogwh01
16,Bob Harrison,SG,6-1,190,August 12 1927,us,3,Michigan,harribo02
11,Lew Hitch,PF,6-8,200,July 16 1929,us,1,Kansas State,hitchle01
12 13,Jim Holstein,SF,6-3,180,September 24 1930,us,R,Cincinnati,holstji01
